timestamp,predicted label,confidence,true label
2025-04-10 01:53:34,1,0.5107155,5
2025-04-10 01:54:40,1,0.7680998,4
2025-04-10 01:55:11,1,0.3655087,3
2025-04-10 01:55:29,5,0.9281002,3
2025-04-10 01:56:06,5,0.83471227,8
2025-04-10 01:56:41,5,0.87024164,5
2025-04-10 01:57:02,2,0.9980307,2
2025-04-10 01:57:12,9,0.9348188,0
2025-04-10 01:57:45,9,0.94954216,0
2025-04-10 01:58:22,9,0.38318413,0
2025-04-10 01:59:01,5,0.39217994,5
2025-04-10 01:24:53,3,0.99650794,3
2025-04-10 01:25:03,5,0.95283514,5
2025-04-10 01:25:08,6,0.6799035,6
2025-04-10 01:25:15,2,0.69192934,4
2025-04-10 01:25:22,4,0.91838837,4
2025-04-10 01:25:28,4,0.7412721,4
2025-04-10 01:25:35,5,0.554676,8
2025-04-10 01:41:36,3,0.9914199,3
